,Harold Baines,Bert Blyleven,Andre Dawson,Rickey Henderson,Tommy John,Don Mattingly,Mark McGwire,Jack Morris,Dale Murphy,Dave Parker,Tim Raines,Jim Rice,Lee Smith,Alan Trammell
Online Ballots,5.00%,70.00%,75.00%,96.72%,20.00%,6.67%,20.00%,50.00%,10.00%,5.00%,40.00%,78.33%,36.67%,23.33%
Total Results,5.90%,62.70%,67.00%,94.80%,31.70%,11.90%,21.90%,44.00%,11.50%,15.00%,22.60%,76.40%,44.50%,17.40%
Total Out of 60,3,42,45,59,12,4,12,30,6,3,24,47,22,14
Phil Arvia,,1,1,1,,,,1,,,,1,1,
Steve Aschburner,,1,1,1,,,,1,,,,,,1
Filip Bondy,,,,1,,,,,,,,,,
Howard Bryant,,1,1,1,,,,,,,,1,,
Garry Brown,,1,1,1,1,,,1,,,,1,,
Steve Buckley,,1,,1,,,,1,,,,1,,
Jim Caple,,1,1,1,,,1,1,,1,,1,,1
Jim Capozzi,,1,1,1,1,,,,,,,,,
Murray Chass,,,,1,,,,1,,,,1,,
Bill Conlin,,1,1,1,,,,1,,,,1,,
Tim Cowlishaw,,1,1,1,,,,,,,1,1,,
Jerry Crasnick,,1,1,1,,,,1,,,1,1,,
Ken Davidoff,,1,,1,,,,,,,1,,,1
Jose de Jesus Ortiz,,,1,1,1,,,,1,,,1,,
Chris Elsburry,,1,1,1,1,,,1,,,,1,1,
Carter Gaddis,,1,,1,1,,,,1,,,1,1,
Peter Gammons,,1,,1,,,,1,,,1,1,,1
Pedro Gomez,,,1,1,,,,,,1,,1,1,1
Richard Griffen,,,1,1,,,,1,,,1,1,,
Mark Gonzales,,1,,1,,,,,,,,1,,
Dan Graziano,,1,,1,,,,1,,,1,,,
Teddy Greenstein,,1,1,1,,1,,,,,,1,1,
Jim Hawkins,,1,1,1,,,,,,,,1,,
Joe Henderson,,1,1,1,1,,,1,,,1,1,1,
Phil Hersh,,,1,1,,1,,,,,,1,1,1
Bob Hille,,,1,1,,,,,,,,1,1,1
Sean Hogan,,1,1,1,,,,,,,,1,,
Jeff Jacobs,,1,,1,,,,,,,,1,,
Bruce Jenkins,,,,1,,1,1,1,,,,1,,
Dave Kindred,,,1,1,,,1,,1,,,1,1,
Michael Knisley,,,,1,,,,,,,,,1,
Tim Kurkijan,,1,1,1,,,1,1,,,1,1,1,1
Pierre Ladouceur,,1,1,1,,,,,,,1,1,1,
Jack McCaffery,,1,1,1,1,,1,1,,,,1,1,
Dan McGrath,,1,1,1,,,,1,,,,1,,
Hal McCoy,,1,1,1,,,,,,,1,1,,
Scott Miller,,1,1,1,,,,1,,,1,1,,1
Fred Mitchell,,1,1,1,1,,,1,,,1,1,1,
Mike Nadel,,,1,1,,,,1,,,,1,,
Buster Olney,,,1,1,,,1,1,,,,1,,
Phil Pepe,,1,,1,,,,,,,,1,,
John Perrotto,1,1,1,1,,,,,,1,1,,,
Joe Posnanski,,1,,1,1,,1,,1,,1,,,1
T.J Quinn,,1,1,1,,,,1,1,,1,1,,
Tracy Ringolsby,,1,,1,,,,1,,,,,1,1
Brendan Roberts,,1,,1,,,1,,,,1,,1,
Ken Rosenthal,,1,1,1,,,,,,,1,1,1,1
Phil Rogers,1,1,1,1,,,,1,,,1,1,,1
Bob Ryan,,1,1,1,,,,1,,,,1,,
Jim Salisbury,,1,1,1,,,,1,,,1,1,1,
Corky Simpson,,1,1,,1,1,,,,,,,,
Jayson Stark,,1,1,1,,,1,1,1,,1,1,,
Carl Steward,,1,1,1,,,1,1,,,1,,,
Paul Sullivan,1,,1,1,,,,,,,1,,1,
TR Sullivan,,?,1,1,,,1,1,,,1,1,,
Rick Telander,,,1,1,1,,,,,,,1,1,
Marc Topkin,,,1,1,,,1,,,,1,1,,
Steve Wilmoth,,,1,1,,,,,,,,1,,
Dave Van Dyck,,,1,1,1,,,,,,,,1,
Bob Verdi,,1,1,1,,,,1,,,,1,1,
